study,year,location,state,n_spray,brand_name,mean_sev,mean_yld,v_sev,v_yld,yld_check,v_yld_check,sev_check,v_sev_check,vi_yld,n2,n3,design
309,2017,DECIOLÂNDIA,MT,3,PICO + CYPR,65.375,2472.75,1.2679738562091636,41884.85294117656,2269,41884.85294117656,95.25,1.2679738562091636,10471.21323529414,9,9,1
309,2017,DECIOLÂNDIA,MT,3,PYRA + EPOX + FLUX,48.75,2878.75,1.2679738562091636,41884.85294117656,2269,41884.85294117656,95.25,1.2679738562091636,10471.21323529414,9,9,1
309,2017,DECIOLÂNDIA,MT,3,AACHECK,95.25,2269,1.2679738562091636,41884.85294117656,2269,41884.85294117656,95.25,1.2679738562091636,10471.21323529414,9,9,1
309,2017,DECIOLÂNDIA,MT,3,AZOX + BENZ,29.375,2935,1.2679738562091636,41884.85294117656,2269,41884.85294117656,95.25,1.2679738562091636,10471.21323529414,9,9,1
309,2017,DECIOLÂNDIA,MT,3,TFLX + PROT,39.875,2714.75,1.2679738562091636,41884.85294117656,2269,41884.85294117656,95.25,1.2679738562091636,10471.21323529414,9,9,1
309,2017,DECIOLÂNDIA,MT,3,BIXF + TFLX + PROT,29.325,2905.5,1.2679738562091636,41884.85294117656,2269,41884.85294117656,95.25,1.2679738562091636,10471.21323529414,9,9,1
309,2017,DECIOLÂNDIA,MT,3,PICO + TEBU,59.5,2523,1.2679738562091636,41884.85294117656,2269,41884.85294117656,95.25,1.2679738562091636,10471.21323529414,9,9,1
309,2017,DECIOLÂNDIA,MT,3,TFLX + CYPR,61.5,2449.5,1.2679738562091636,41884.85294117656,2269,41884.85294117656,95.25,1.2679738562091636,10471.21323529414,9,9,1
309,2017,DECIOLÂNDIA,MT,3,PICO + BENZ,8.175,3075,1.2679738562091636,41884.85294117656,2269,41884.85294117656,95.25,1.2679738562091636,10471.21323529414,9,9,1
310,2017,LONDRINA,PR,3,PICO + CYPR,25.075,3241.25,27.308050108932473,84838.03458605657,2816.5,84838.03458605657,58.65,27.308050108932473,21209.508646514143,9,9,1
310,2017,LONDRINA,PR,3,PYRA + EPOX + FLUX,17.425,3182.25,27.308050108932473,84838.03458605657,2816.5,84838.03458605657,58.65,27.308050108932473,21209.508646514143,9,9,1
310,2017,LONDRINA,PR,3,AACHECK,58.65,2816.5,27.308050108932473,84838.03458605657,2816.5,84838.03458605657,58.65,27.308050108932473,21209.508646514143,9,9,1
310,2017,LONDRINA,PR,3,AZOX + BENZ,33.675000000000004,2892.75,27.308050108932473,84838.03458605657,2816.5,84838.03458605657,58.65,27.308050108932473,21209.508646514143,9,9,1
310,2017,LONDRINA,PR,3,TFLX + PROT,9.075,3387.75,27.308050108932473,84838.03458605657,2816.5,84838.03458605657,58.65,27.308050108932473,21209.508646514143,9,9,1
310,2017,LONDRINA,PR,3,BIXF + TFLX + PROT,5.5,3459,27.308050108932473,84838.03458605657,2816.5,84838.03458605657,58.65,27.308050108932473,21209.508646514143,9,9,1
310,2017,LONDRINA,PR,3,PICO + TEBU,16.9,3066.5,27.308050108932473,84838.03458605657,2816.5,84838.03458605657,58.65,27.308050108932473,21209.508646514143,9,9,1
310,2017,LONDRINA,PR,3,TFLX + CYPR,20.1,3180.5,27.308050108932473,84838.03458605657,2816.5,84838.03458605657,58.65,27.308050108932473,21209.508646514143,9,9,1
310,2017,LONDRINA,PR,3,PICO + BENZ,29.925,3231.25,27.308050108932473,84838.03458605657,2816.5,84838.03458605657,58.65,27.308050108932473,21209.508646514143,9,9,1
311,2017,PONTA GROSSA,PR,3,PICO + CYPR,1.025,4897.5,0.7122004357298292,92222.3496732027,4299,92222.3496732027,23.75,0.7122004357298292,23055.587418300674,9,9,1
311,2017,PONTA GROSSA,PR,3,PYRA + EPOX + FLUX,0.45,4375.25,0.7122004357298292,92222.3496732027,4299,92222.3496732027,23.75,0.7122004357298292,23055.587418300674,9,9,1
311,2017,PONTA GROSSA,PR,3,AACHECK,23.75,4299,0.7122004357298292,92222.3496732027,4299,92222.3496732027,23.75,0.7122004357298292,23055.587418300674,9,9,1
311,2017,PONTA GROSSA,PR,3,AZOX + BENZ,1.15,4885.75,0.7122004357298292,92222.3496732027,4299,92222.3496732027,23.75,0.7122004357298292,23055.587418300674,9,9,1
311,2017,PONTA GROSSA,PR,3,TFLX + PROT,0.675,4722.75,0.7122004357298292,92222.3496732027,4299,92222.3496732027,23.75,0.7122004357298292,23055.587418300674,9,9,1
311,2017,PONTA GROSSA,PR,3,BIXF + TFLX + PROT,0.875,5074,0.7122004357298292,92222.3496732027,4299,92222.3496732027,23.75,0.7122004357298292,23055.587418300674,9,9,1
311,2017,PONTA GROSSA,PR,3,PICO + TEBU,0.4,5010.75,0.7122004357298292,92222.3496732027,4299,92222.3496732027,23.75,0.7122004357298292,23055.587418300674,9,9,1
311,2017,PONTA GROSSA,PR,3,TFLX + CYPR,0.75,4748.25,0.7122004357298292,92222.3496732027,4299,92222.3496732027,23.75,0.7122004357298292,23055.587418300674,9,9,1
311,2017,PONTA GROSSA,PR,3,PICO + BENZ,0.375,5076.75,0.7122004357298292,92222.3496732027,4299,92222.3496732027,23.75,0.7122004357298292,23055.587418300674,9,9,1
312,2017,CABECEIRA DO APA,MS,3,PICO + CYPR,42.62,3445.2,14.677696078431197,24711.752941176244,2283.6,24711.752941176244,94.03999999999999,14.677696078431197,6177.938235294061,9,9,1
312,2017,CABECEIRA DO APA,MS,3,PYRA + EPOX + FLUX,32.980000000000004,3720,14.677696078431197,24711.752941176244,2283.6,24711.752941176244,94.03999999999999,14.677696078431197,6177.938235294061,9,9,1
312,2017,CABECEIRA DO APA,MS,3,AACHECK,94.03999999999999,2283.6,14.677696078431197,24711.752941176244,2283.6,24711.752941176244,94.03999999999999,14.677696078431197,6177.938235294061,9,9,1
312,2017,CABECEIRA DO APA,MS,3,AZOX + BENZ,67.06,2953.2,14.677696078431197,24711.752941176244,2283.6,24711.752941176244,94.03999999999999,14.677696078431197,6177.938235294061,9,9,1
312,2017,CABECEIRA DO APA,MS,3,TFLX + PROT,32.84,3729.6,14.677696078431197,24711.752941176244,2283.6,24711.752941176244,94.03999999999999,14.677696078431197,6177.938235294061,9,9,1
312,2017,CABECEIRA DO APA,MS,3,BIXF + TFLX + PROT,33.98,3876,14.677696078431197,24711.752941176244,2283.6,24711.752941176244,94.03999999999999,14.677696078431197,6177.938235294061,9,9,1
312,2017,CABECEIRA DO APA,MS,3,PICO + TEBU,42.38,3544.8,14.677696078431197,24711.752941176244,2283.6,24711.752941176244,94.03999999999999,14.677696078431197,6177.938235294061,9,9,1
312,2017,CABECEIRA DO APA,MS,3,TFLX + CYPR,44.38,3440.4,14.677696078431197,24711.752941176244,2283.6,24711.752941176244,94.03999999999999,14.677696078431197,6177.938235294061,9,9,1
312,2017,CABECEIRA DO APA,MS,3,PICO + BENZ,21.7,4014,14.677696078431197,24711.752941176244,2283.6,24711.752941176244,94.03999999999999,14.677696078431197,6177.938235294061,9,9,1
313,2017,CAMPO GRANDE,MS,3,PICO + CYPR,19.26,3088.8,5.401483660130687,11094.741176470547,2588.4,11094.741176470547,48.38,5.401483660130687,2773.6852941176367,9,9,1
313,2017,CAMPO GRANDE,MS,3,PYRA + EPOX + FLUX,9.64,3608.4,5.401483660130687,11094.741176470547,2588.4,11094.741176470547,48.38,5.401483660130687,2773.6852941176367,9,9,1
313,2017,CAMPO GRANDE,MS,3,AACHECK,48.38,2588.4,5.401483660130687,11094.741176470547,2588.4,11094.741176470547,48.38,5.401483660130687,2773.6852941176367,9,9,1
313,2017,CAMPO GRANDE,MS,3,AZOX + BENZ,7.16,3739.2,5.401483660130687,11094.741176470547,2588.4,11094.741176470547,48.38,5.401483660130687,2773.6852941176367,9,9,1
313,2017,CAMPO GRANDE,MS,3,TFLX + PROT,14.36,3312,5.401483660130687,11094.741176470547,2588.4,11094.741176470547,48.38,5.401483660130687,2773.6852941176367,9,9,1
313,2017,CAMPO GRANDE,MS,3,BIXF + TFLX + PROT,10.56,3614.4,5.401483660130687,11094.741176470547,2588.4,11094.741176470547,48.38,5.401483660130687,2773.6852941176367,9,9,1
313,2017,CAMPO GRANDE,MS,3,PICO + TEBU,17.82,3140.4,5.401483660130687,11094.741176470547,2588.4,11094.741176470547,48.38,5.401483660130687,2773.6852941176367,9,9,1
313,2017,CAMPO GRANDE,MS,3,TFLX + CYPR,20.66,3036,5.401483660130687,11094.741176470547,2588.4,11094.741176470547,48.38,5.401483660130687,2773.6852941176367,9,9,1
313,2017,CAMPO GRANDE,MS,3,PICO + BENZ,4.78,3896.4,5.401483660130687,11094.741176470547,2588.4,11094.741176470547,48.38,5.401483660130687,2773.6852941176367,9,9,1
314,2017,MARACAJU,MS,3,PICO + CYPR,20.68,3506.4,8.7289771241832,12006.129411764836,2404.8,12006.129411764836,52.18,8.7289771241832,3001.532352941209,9,9,1
314,2017,MARACAJU,MS,3,PYRA + EPOX + FLUX,14.780000000000001,3753.6,8.7289771241832,12006.129411764836,2404.8,12006.129411764836,52.18,8.7289771241832,3001.532352941209,9,9,1
314,2017,MARACAJU,MS,3,AACHECK,52.18,2404.8,8.7289771241832,12006.129411764836,2404.8,12006.129411764836,52.18,8.7289771241832,3001.532352941209,9,9,1
314,2017,MARACAJU,MS,3,AZOX + BENZ,10.7,3921.6,8.7289771241832,12006.129411764836,2404.8,12006.129411764836,52.18,8.7289771241832,3001.532352941209,9,9,1
314,2017,MARACAJU,MS,3,TFLX + PROT,14.56,3762,8.7289771241832,12006.129411764836,2404.8,12006.129411764836,52.18,8.7289771241832,3001.532352941209,9,9,1
314,2017,MARACAJU,MS,3,BIXF + TFLX + PROT,13.2,3864,8.7289771241832,12006.129411764836,2404.8,12006.129411764836,52.18,8.7289771241832,3001.532352941209,9,9,1
314,2017,MARACAJU,MS,3,PICO + TEBU,18.46,3616.8,8.7289771241832,12006.129411764836,2404.8,12006.129411764836,52.18,8.7289771241832,3001.532352941209,9,9,1
314,2017,MARACAJU,MS,3,TFLX + CYPR,21.8,3472.8,8.7289771241832,12006.129411764836,2404.8,12006.129411764836,52.18,8.7289771241832,3001.532352941209,9,9,1
314,2017,MARACAJU,MS,3,PICO + BENZ,6.54,4237.2,8.7289771241832,12006.129411764836,2404.8,12006.129411764836,52.18,8.7289771241832,3001.532352941209,9,9,1
315,2017,SÃO GABRIEL DO OESTE,MS,3,PICO + CYPR,27.96,2913.6,8.964277777777825,15096.376470588217,2100,15096.376470588217,63.76,8.964277777777825,3774.094117647054,9,9,1
315,2017,SÃO GABRIEL DO OESTE,MS,3,PYRA + EPOX + FLUX,13.52,3184.8,8.964277777777825,15096.376470588217,2100,15096.376470588217,63.76,8.964277777777825,3774.094117647054,9,9,1
315,2017,SÃO GABRIEL DO OESTE,MS,3,AACHECK,63.76,2100,8.964277777777825,15096.376470588217,2100,15096.376470588217,63.76,8.964277777777825,3774.094117647054,9,9,1
