study,year,location,state,n_spray,brand_name,mean_sev,mean_yld,v_sev,v_yld,yld_check,v_yld_check,sev_check,v_sev_check,log_sev,vi_sev,n2,n3,design
310,2017,LONDRINA,PR,3,AACHECK,58.65,2816.5,27.308050108932473,84838.03458605657,2816.5,84838.03458605657,58.65,27.308050108932473,4.0715875750994845,0.0019846990730577286,9,9,1
310,2017,LONDRINA,PR,3,AZOX + BENZ,33.675000000000004,2892.75,27.308050108932473,84838.03458605657,2816.5,84838.03458605657,58.65,27.308050108932473,3.516755722296428,0.00602026337147412,9,9,1
310,2017,LONDRINA,PR,3,TFLX + PROT,9.075,3387.75,27.308050108932473,84838.03458605657,2816.5,84838.03458605657,58.65,27.308050108932473,2.205523380150914,0.0828967362852643,9,9,1
310,2017,LONDRINA,PR,3,BIXF + TFLX + PROT,5.5,3459,27.308050108932473,84838.03458605657,2816.5,84838.03458605657,58.65,27.308050108932473,1.7047480922384253,0.22568636453663202,9,9,1
310,2017,LONDRINA,PR,3,PICO + TEBU,16.9,3066.5,27.308050108932473,84838.03458605657,2816.5,84838.03458605657,58.65,27.308050108932473,2.8273136219290276,0.023903268538332408,9,9,1
310,2017,LONDRINA,PR,3,TFLX + CYPR,20.1,3180.5,27.308050108932473,84838.03458605657,2816.5,84838.03458605657,58.65,27.308050108932473,3.0007198150650303,0.01689812758900304,9,9,1
310,2017,LONDRINA,PR,3,PICO + BENZ,29.925,3231.25,27.308050108932473,84838.03458605657,2816.5,84838.03458605657,58.65,27.308050108932473,3.398694251444037,0.007623640027088739,9,9,1
311,2017,PONTA GROSSA,PR,3,PICO + CYPR,1.025,4897.5,0.7122004357298292,92222.3496732027,4299,92222.3496732027,23.75,0.7122004357298292,0.024692612590371414,0.16947065692559887,9,9,1
311,2017,PONTA GROSSA,PR,3,PYRA + EPOX + FLUX,0.45,4375.25,0.7122004357298292,92222.3496732027,4299,92222.3496732027,23.75,0.7122004357298292,-0.7985076962177716,0.87925979719732,9,9,1
311,2017,PONTA GROSSA,PR,3,AACHECK,23.75,4299,0.7122004357298292,92222.3496732027,4299,92222.3496732027,23.75,0.7122004357298292,3.1675825304806504,3.156567028165448e-4,9,9,1
